bar,run_start,run_stop,nonlinear_fast_threshold,linear_fit_params[0],linear_fit_params[1],quadratic_fit_params[0],quadratic_fit_params[1],quadratic_fit_params[2],stationary_point_x,stationary_point_y
13,4602,5000,3167.3616,-16.169181,1.1088288,-8590.9507,6.523292,-0.00085472767,3816.0061,3855.5103
14,2001,2282,2912.178,-64.609899,1.1738003,-5011.2323,4.5709981,-0.00058327441,3918.3942,3944.254
14,2283,2383,3003.0574,-33.600791,1.1545545,-6831.4371,5.6818315,-0.00075377797,3768.9026,3875.6976
14,2384,2565,3021.1931,-30.89302,1.1448993,-6630.5904,5.5138339,-0.00072304789,3812.9106,3881.2873
14,2566,2634,2968.652,-63.359132,1.1575113,-5218.0938,4.6302894,-0.00058490825,3958.1331,3945.5569
14,2635,2711,2961.101,-64.330868,1.16633,-5639.664,4.9320463,-0.00063586421,3878.2229,3924.1233
14,2712,2837,2977.6436,-61.744925,1.1577607,-5684.5777,4.9344603,-0.0006341759,3890.4508,3914.06
14,2838,3500,2938.8575,-62.756877,1.1664948,-5284.5605,4.7201231,-0.0006045935,3903.551,3928.0601
14,3501,4071,2874.375,-70.020789,1.1951823,-5506.9672,4.9782283,-0.00065806409,3782.4798,3908.0568
14,4072,4113,2848.6409,-73.54666,1.21592,-6072.5134,5.4277296,-0.0007392665,3671.0236,3890.1485
14,4114,4196,2827.2204,-73.063358,1.213121,-5082.4381,4.7567957,-0.00062670649,3795.0746,3943.7591
14,4197,4306,2935.3609,-75.533297,1.1739292,-5630.7118,4.9589346,-0.00064472574,3845.7706,3904.7507
14,4307,4332,2971.552,-74.483261,1.1701237,-6442.1984,5.4559077,-0.00072113563,3782.8582,3877.2643
14,4333,4358,2960.2057,-33.832328,1.1662034,-6858.6488,5.7772455,-0.00077883812,3708.8872,3854.9272
14,4359,4385,2929.1388,-33.552578,1.164755,-5872.8946,5.1518258,-0.00068058756,3784.8369,3876.5156
14,4386,4460,3033.4253,-35.380148,1.1616192,-35400.915,24.478847,-0.0038433826,3184.5446,3576.0764
14,4461,4488,2981.1769,-38.124768,1.1627204,-7041.0766,5.8608327,-0.00078796269,3718.9786,3857.0789
14,4489,4517,3011.0613,-33.513993,1.1604248,-8291.7382,6.6456829,-0.0009108513,3648.0614,3830.1915
14,4518,4549,2982.5914,-36.427656,1.1622981,-7008.374,5.8373913,-0.00078373009,3724.1082,3861.1643
14,4550,4629,2958.3521,-37.639596,1.1574576,-5964.6318,5.1644128,-0.00067722756,3812.908,3881.0836
14,4630,5000,3009.1354,-35.704586,1.1558463,-7375.2894,6.034048,-0.00081056535,3722.1231,3854.4455
