*Tele EF EB theta(degree) phi(degree)
   0 23 27       34.2029     167.169
   0 23 28       34.2713     166.564
   0 23 29       34.3426     165.961
   0 23 30       34.4167     165.361
   0 23 31       34.4937     164.764
   0 24  0       33.8745     184.008
   0 24  1       33.8587     183.388
   0 24  2       33.8460     182.767
   0 24  3       33.8363     182.144
   0 24  4       33.8298     181.521
   0 24  5       33.8264     180.898
   0 24  6       33.8262     180.273
   0 24  7       33.8291     179.649
   0 24  8       33.8352     179.024
   0 24  9       33.8444     178.398
   0 24 10       33.8568     177.773
   0 24 11       33.8723     177.148
   0 24 12       33.8910     176.524
   0 24 13       33.9129     175.899
   0 24 14       33.9379     175.276
   0 24 15       33.9661     174.653
   0 24 16       33.9974     174.031
   0 24 17       34.0318     173.410
   0 24 18       34.0693     172.790
   0 24 19       34.1100     172.172
   0 24 20       34.1537     171.555
   0 24 21       34.2005     170.940
   0 24 22       34.2503     170.326
   0 24 23       34.3031     169.714
   0 24 24       34.3590     169.105
   0 24 25       34.4178     168.497
   0 24 26       34.4796     167.892
   0 24 27       34.5443     167.289
   0 24 28       34.6119     166.689
   0 24 29       34.6824     166.091
   0 24 30       34.7557     165.496
   0 24 31       34.8319     164.904
   0 25  0       34.2209     183.974
   0 25  1       34.2055     183.360
   0 25  2       34.1930     182.744
   0 25  3       34.1837     182.128
   0 25  4       34.1774     181.511
   0 25  5       34.1742     180.893
   0 25  6       34.1741     180.274
   0 25  7       34.1771     179.655
   0 25  8       34.1833     179.036
   0 25  9       34.1925     178.416
   0 25 10       34.2049     177.797
   0 25 11       34.2204     177.178
   0 25 12       34.2390     176.559
   0 25 13       34.2607     175.940
   0 25 14       34.2855     175.322
   0 25 15       34.3134     174.705
   0 25 16       34.3444     174.089
   0 25 17       34.3785     173.474
   0 25 18       34.4157     172.860
   0 25 19       34.4560     172.247
   0 25 20       34.4992     171.635
   0 25 21       34.5455     171.026
   0 25 22       34.5948     170.417
   0 25 23       34.6471     169.811
   0 25 24       34.7024     169.207
   0 25 25       34.7606     168.605
   0 25 26       34.8217     168.004
   0 25 27       34.8857     167.407
   0 25 28       34.9525     166.811
   0 25 29       35.0222     166.218
   0 25 30       35.0947     165.628
   0 25 31       35.1700     165.041
   0 26  0       34.5671     183.941
   0 26  1       34.5520     183.332
   0 26  2       34.5399     182.722
   0 26  3       34.5308     182.112
   0 26  4       34.5248     181.500
   0 26  5       34.5218     180.888
   0 26  6       34.5218     180.275
   0 26  7       34.5250     179.661
   0 26  8       34.5312     179.048
   0 26  9       34.5404     178.434
   0 26 10       34.5528     177.820
   0 26 11       34.5682     177.207
   0 26 12       34.5867     176.594
   0 26 13       34.6082     175.981
   0 26 14       34.6329     175.368
   0 26 15       34.6606     174.757
   0 26 16       34.6913     174.146
   0 26 17       34.7251     173.536
   0 26 18       34.7619     172.928
   0 26 19       34.8018     172.320
   0 26 20       34.8446     171.714
   0 26 21       34.8904     171.110
   0 26 22       34.9392     170.507
   0 26 23       34.9910     169.906
   0 26 24       35.0456     169.307
   0 26 25       35.1032     168.710
   0 26 26       35.1636     168.115
   0 26 27       35.2269     167.522
   0 26 28       35.2931     166.932
   0 26 29       35.3620     166.344
   0 26 30       35.4337     165.758
   0 26 31       35.5081     165.176
   0 27  0       34.9131     183.909
   0 27  1       34.8983     183.305
   0 27  2       34.8866     182.701
   0 27  3       34.8777     182.096
